reach_id,fit_method,nobs,med_flow_area,med_wse,med_width,h_break_0,h_break_1,h_break_2,h_break_3,m_1,m_2,m_3,y0_1,y0_2,y0_3,ormse,mor
45349500141,simple,33,199.02055736165494,419.71038330219625,121.87692457401499,417.5432611106859,420.3140933048704,422.4926994593616,425.39239999999694,28.72971526334384,20.777857968510997,2.366691649720873e-09,-11936.282880766987,-8594.0051917996,184.48810929990694,53.06530864596609,43.14772586004938
45343000231,simple,32,2395.8884508857736,79.88202501790107,544.940872338173,74.41873805845417,79.88202501790107,81.41648669377884,88.91759999999007,42.30380522765232,146.58108478124498,4.529401873989481e-08,-2834.3727552095643,-11164.253009308317,769.8639256559022,51.6980877204609,45.10548001591097
45343000241,simple,32,845.8420061513189,68.96350000002371,204.31459867563257,64.82360000003003,69.30289371789092,71.46336765176817,79.42969999996275,1.0616321380249368e-07,229.3447634613862,3.138786568727388e-08,204.31459135424575,-15689.941168207612,699.8079797981529,52.152159423336535,39.73692618098157
45343000271,set,32,6.031289646238292,95.23131092033489,49.62616972696597,95.109175220805,95.65849999999999,96.2076,96.75669999965118,3.9996279284746215,86.58395637275592,2.1153312129422795e-05,-331.26364109525565,-8231.156623582548,98.87598243561247,6.6108611021787596,4.996534383774597
45343000251,simple,32,25.238048997562146,76.66577498502835,85.6912578589222,76.30757154527281,77.33290102399654,78.11265453123454,78.86969999946125,60.87925234877064,136.53676551236296,1.9106071146767236e-06,-4581.663803968687,-10432.478781170488,232.77026486630447,20.81052542650935,13.567242715073444
45343000261,simple,32,6.902230648935074,85.47472377415716,51.193129548157685,85.33403853163901,85.81639921265527,86.13720838492992,87.24756947981848,67.40514619949467,1.443667551557011e-06,58.89968625086442,-5710.243122810328,74.22368854254906,-4999.230735501658,9.138608292457302,7.486766989036989
45343000341,simple,31,1548.9790752028903,57.8756413982264,153.94106289216802,46.96180000014159,56.71081692827181,61.81590036981644,66.46999999989664,6.69034815805717e-08,10.955658013779615,2.541755534232217e-07,141.17964055919214,-480.12467159494634,197.10917695851032,59.930284716851325,41.994829130275086
45349500121,simple,30,788.6838101986796,419.0115430569217,230.97326559878366,414.0160863061939,415.60627601214736,419.74050190259015,421.19210000000106,32.23149724143097,28.757909815682986,2.357806452456664e-07,-13262.56763578008,-11818.922901362339,251.93649937517478,62.91857920280438,41.467267236601735
45349300041,set,29,1099.3976902572758,364.54300000046317,221.15394114811997,359.34696512452365,362.47513333333336,365.60386666666665,368.7287572445462,10.18510768487893,1.389351917731223e-06,54.88314328343057,-3470.694327815723,221.15343466960383,-19844.335456620873,49.196565718509554,37.83248025293179
45345000021,simple,28,395.01594465615926,86.9281343892647,276.9055500180757,85.2188565400394,89.26869807745028,91.3869611479093,94.99194844100357,66.468331460296,224.08031976911454,23.646481129455704,-5501.062499792726,-19570.879497519272,-1253.8400730304484,91.60880193926276,69.26475147873597
